symbol,sector
TSLA,Consumer Discretionary
NVDA,Information Technology
NFLX,Communication Services
AMZN,Consumer Discretionary
FCX,Materials
BAC,Financials
PFE,Healthcare
DIS,Communication Services
META,Communication Services
MSFT,Information Technology
NKE,Consumer Discretionary
TSM,Information Technology
AAPL,Information Technology
GOOGL,Communication Services
GOOG,Information Technology
NEE,Utilities
LLY,Healthcare
WMT,Consumer Staples
UNH,Healthcare
BINANCE:BTCUSDT,Financials
BINANCE:SOLUSDT,Financials
BINANCE:ETHUSDT,Financials
